cantServidores cantEnlaces costoDelAGM maxPathSize tiempoConsultora1 tiempoConsultora2 
7 21 53 6 57600 40500
7 21 16 6 60800 39700
7 21 61 5 57300 37100
7 21 31 6 57100 40300
7 21 72 6 57100 40500
7 21 31 5 55900 39500
7 21 24 6 57200 39900
7 21 22 6 58700 38100
7 21 34 7 60200 43600
7 21 47 5 56600 39400
7 21 54 6 58900 40700
7 21 48 5 57900 37100
7 21 49 5 56300 37600
7 21 34 6 57200 37400
7 21 79 5 57000 37500
7 21 66 5 57100 37800
7 21 90 6 57300 39700
7 21 55 5 58100 37800
7 21 62 5 58000 36700
7 21 36 6 59900 39800
8 28 50 6 66800 39000
8 28 73 6 67300 42100
8 28 72 8 70300 41800
8 28 49 5 67000 39000
8 28 76 6 66200 38900
8 28 86 6 68000 42300
8 28 44 6 68400 41300
8 28 53 7 66600 42400
8 28 49 7 67800 43900
8 28 43 6 67300 41600
8 28 52 5 67800 39400
8 28 32 7 67700 42900
8 28 39 6 66100 39400
8 28 40 7 66000 42100
8 28 73 7 66100 42000
8 28 91 7 67300 41700
8 28 72 5 64700 38500
8 28 82 7 65900 41700
8 28 47 6 66200 41100
8 28 71 7 67400 42100
8 28 81 6 67800 39500
8 28 33 6 70000 41700
8 28 40 5 66000 40300
8 28 61 6 65800 40900
8 28 72 5 68400 39200
8 28 55 8 66700 42900
8 28 46 7 67500 42400
8 28 61 6 67500 39400
8 28 59 5 67300 41500
8 28 64 5 64900 41300
8 28 69 8 65700 45000
8 28 48 8 65900 41400
8 28 24 5 70300 65400
8 28 80 7 69600 41800
8 28 29 7 67700 40100
8 28 62 5 67400 38600
8 28 89 5 65700 41600
8 28 65 7 69100 41200
8 28 61 6 66200 38900
8 28 91 5 67300 42700
8 28 95 6 66000 42000
8 28 91 6 66100 39300
8 28 115 6 66300 41100
8 28 95 6 67500 39800
8 28 42 8 65900 42400
8 28 45 6 65700 39700
8 28 38 7 68400 42200
8 28 53 6 67200 42500
8 28 96 6 67700 41300
8 28 58 8 71000 41900
8 28 66 6 66100 41700
8 28 39 7 67600 41700
8 28 37 5 68500 40400
8 28 91 6 67300 42800
8 28 52 6 68600 42600
8 28 97 5 68400 39600
8 28 91 8 68000 41900
8 28 24 5 65800 38800
8 28 49 6 65800 44700
8 28 76 6 66100 42000
8 28 46 6 66900 41000
8 28 53 6 67100 42700
8 28 60 6 67700 42700
8 28 69 5 64600 41600
8 28 69 5 65900 39200
8 28 71 7 67700 41700
8 28 101 6 66700 41900
8 28 56 6 67600 39500
8 28 60 6 70900 44200
8 28 51 5 67200 40800
8 28 82 6 67900 41100
8 28 51 7 69100 42300
8 28 53 7 66200 43000
8 28 84 8 66100 42200
8 28 51 6 68400 42100
8 28 116 6 66000 39100
8 28 30 8 65900 42500
8 28 68 7 70000 39800
8 28 81 7 67900 41200
8 28 50 5 67900 41200
8 28 58 5 66900 39300
8 28 42 5 66400 38300
8 28 50 5 65900 41300
8 28 58 6 65900 43300
8 28 53 5 68900 39200
8 28 93 6 65400 41100
8 28 75 5 66600 39400
8 28 45 6 65500 41200
8 28 45 7 66100 42400
8 28 69 5 67300 41400
8 28 49 6 64700 41200
8 28 60 5 67600 38800
8 28 22 7 66500 43200
8 28 75 6 66900 41900
8 28 52 6 67400 41400
8 28 23 7 67500 43000
8 28 30 6 71900 41400
8 28 50 6 67600 42600
8 28 84 6 68100 41700
8 28 28 8 68300 41800
9 36 90 8 78800 43300
9 36 85 8 76000 43500
9 36 96 7 79400 45000
9 36 105 5 73900 40200
9 36 50 8 76200 43500
9 36 58 6 75400 41200
9 36 110 7 75200 41500
9 36 57 6 74100 44800
9 36 64 6 77000 43400
9 36 117 6 83100 69000
9 36 48 7 78500 44500
9 36 94 8 75000 43800
9 36 62 7 76200 44400
9 36 73 7 80100 46400
9 36 59 7 75500 44500
9 36 72 8 76000 44400
9 36 34 8 77300 44900
9 36 71 6 77000 41200
9 36 65 5 75600 42500
9 36 131 7 75300 43900
9 36 91 7 76800 43700
9 36 137 8 81100 44700
9 36 45 7 75700 43800
9 36 69 7 75300 43500
9 36 104 8 77500 44500
9 36 62 5 75900 42700
9 36 75 8 76400 43900
9 36 81 7 78700 45700
9 36 90 7 77000 41400
9 36 112 7 74500 44100
9 36 184 8 76000 43700
9 36 68 7 75800 43500
9 36 55 5 75500 44300
9 36 99 6 75800 44100
9 36 118 6 75800 44200
9 36 74 6 77800 43400
9 36 95 7 76500 43500
9 36 70 6 74400 41000
9 36 58 6 79600 43800
9 36 45 7 74500 41100
9 36 47 8 76500 43400
9 36 136 8 78700 44300
9 36 40 6 74000 43900
9 36 104 5 74400 40800
9 36 77 5 74800 42600
9 36 71 5 76400 42900
9 36 60 7 105300 50800
9 36 103 7 74700 44100
9 36 62 5 74300 40900
9 36 42 7 78000 43400
9 36 52 8 76500 43800
9 36 65 6 74500 43200
9 36 79 5 78300 43000
9 36 80 6 77100 40900
9 36 60 6 76800 43400
9 36 134 7 75600 45500
9 36 85 5 77700 42800
9 36 86 7 78600 46300
9 36 63 8 76900 42900
9 36 67 7 75500 43200
9 36 71 7 79500 43200
9 36 115 5 75600 39900
9 36 142 6 75900 43100
9 36 102 6 80400 41000
9 36 92 7 76300 43800
9 36 61 9 75800 45400
9 36 67 7 77300 42800
9 36 44 6 75800 42900
9 36 67 6 76600 41100
9 36 47 7 76100 43800
9 36 84 6 75600 43000
9 36 71 7 77100 45400
9 36 104 7 75200 41200
9 36 96 8 75300 43000
9 36 64 5 74200 44500
9 36 85 7 73800 43900
9 36 56 7 77000 41400
9 36 62 7 77000 42900
9 36 135 7 75200 43600
9 36 133 5 108800 42900
9 36 89 8 76300 44100
9 36 48 8 76500 44200
9 36 82 7 76600 48500
9 36 32 6 75500 46400
9 36 95 6 74700 41100
9 36 128 6 74100 44600
9 36 19 8 76100 43600
9 36 93 5 73900 40500
9 36 91 7 78900 43000
9 36 72 6 75100 43800
9 36 46 6 77100 43700
9 36 96 6 78500 41600
9 36 58 7 76600 43900
9 36 101 8 75800 43400
9 36 114 7 75700 44400
9 36 93 7 76500 43200
9 36 95 7 77100 47800
9 36 61 6 77200 46100
9 36 96 6 74500 41100
9 36 105 7 75800 45100
10 45 90 6 86500 45200
10 45 108 6 83900 42700
10 45 85 8 87000 44900
10 45 150 8 87400 46800
10 45 85 9 87000 51100
10 45 97 7 83500 45500
10 45 104 6 82200 44800
10 45 140 7 87300 44800
10 45 149 7 84700 42900
10 45 131 6 83500 44100
10 45 179 8 84200 48500
10 45 126 8 85000 46000
10 45 119 8 88600 45600
10 45 52 7 83300 45300
10 45 87 7 84200 46400
10 45 132 6 83700 42300
10 45 125 6 84800 45000
10 45 115 6 84800 43100
10 45 102 8 86100 45500
10 45 104 7 86100 44900
10 45 145 8 85400 46800
10 45 76 8 85800 45400
10 45 100 8 86500 44900
10 45 112 8 85600 45100
10 45 158 5 82300 42400
10 45 202 7 84200 45300
10 45 124 8 83400 46500
10 45 70 6 87100 45600
10 45 102 9 85600 47300
10 45 101 6 86000 44000
10 45 104 8 88000 44700
10 45 127 6 84300 44700
10 45 119 9 84900 50100
10 45 114 8 85400 45400
10 45 127 7 86700 45300
10 45 79 7 91100 43100
10 45 138 9 88600 47600
10 45 98 6 86400 44700
10 45 62 6 83400 45300
10 45 130 7 84100 44900
10 45 138 7 87000 45300
10 45 148 8 86800 46500
10 45 154 7 85900 48500
10 45 78 8 86700 45500
10 45 73 7 118000 45500
10 45 131 6 86000 44900
10 45 50 7 86500 45100
10 45 94 7 86400 46000
10 45 150 6 87100 42500
10 45 81 6 87300 44900
10 45 125 9 85000 47400
10 45 85 5 82900 44800
10 45 94 9 86600 48200
10 45 158 7 85600 44600
10 45 99 6 83300 42400
10 45 53 7 85900 45300
10 45 83 6 85800 44900
10 45 112 7 91000 45600
10 45 76 7 85100 45200
10 45 122 6 85600 45400
10 45 97 9 86000 50000
10 45 100 8 89000 45500
10 45 91 8 88100 44500
10 45 105 7 86400 45400
10 45 80 9 85600 47100
10 45 145 6 84200 44500
10 45 98 6 86100 42400
10 45 83 8 87900 46500
10 45 156 10 85800 48100
10 45 183 9 86300 47500
10 45 93 8 86400 46700
10 45 87 6 85600 44800
10 45 72 8 89600 46000
10 45 108 7 86800 47000
10 45 40 6 85600 44900
10 45 92 8 84900 44600
10 45 112 7 86700 46100
10 45 74 7 88000 44400
10 45 124 7 85600 45600
10 45 111 6 85400 44600
10 45 77 7 86400 45900
10 45 132 5 83500 41800
10 45 53 6 84800 44600
