fabricas clientes rutas costo cantaristas tiempo 
6 15 210 430 15 73 
6 15 210 299 15 67 
6 15 210 442 15 66 
7 14 210 322 14 65 
7 14 210 289 14 65 
7 14 210 164 14 65 
7 14 210 247 14 66 
7 14 210 382 14 67 
7 14 210 329 14 66 
7 14 210 331 14 71 
7 14 210 263 14 65 
7 14 210 159 14 65 
7 14 210 192 14 65 
8 13 210 264 13 65 
8 13 210 199 13 64 
8 13 210 220 13 63 
8 13 210 186 13 64 
8 13 210 365 13 64 
8 13 210 156 13 64 
8 13 210 360 13 64 
8 13 210 358 13 64 
8 13 210 322 13 63 
8 13 210 455 13 63 
9 12 210 188 12 62 
9 12 210 294 12 63 
9 12 210 169 12 63 
9 12 210 291 12 63 
9 12 210 288 12 62 
9 12 210 212 12 62 
9 12 210 410 12 62 
9 12 210 209 12 63 
9 12 210 238 12 62 
9 12 210 143 12 62 
1 21 231 464 21 79 
1 21 231 643 21 79 
1 21 231 463 21 80 
1 21 231 481 21 78 
1 21 231 396 21 79 
1 21 231 518 21 86 
1 21 231 516 21 78 
1 21 231 466 21 78 
1 21 231 569 21 79 
1 21 231 541 21 79 
2 20 231 844 20 78 
2 20 231 520 20 76 
2 20 231 599 20 78 
2 20 231 430 20 76 
2 20 231 379 20 78 
2 20 231 492 20 76 
2 20 231 649 20 82 
2 20 231 437 20 80 
2 20 231 360 20 77 
2 20 231 527 20 77 
3 19 231 593 19 91 
3 19 231 429 19 85 
3 19 231 568 19 77 
3 19 231 414 19 75 
3 19 231 430 19 76 
3 19 231 483 19 84 
3 19 231 501 19 77 
3 19 231 425 19 75 
3 19 231 637 19 76 
3 19 231 626 19 76 
4 18 231 444 18 74 
4 18 231 499 18 73 
4 18 231 520 18 75 
4 18 231 347 18 74 
4 18 231 359 18 74 
4 18 231 392 18 73 
4 18 231 536 18 74 
4 18 231 665 18 73 
4 18 231 384 18 74 
4 18 231 427 18 84 
5 17 231 471 17 72 
5 17 231 405 17 71 
5 17 231 367 17 71 
5 17 231 501 17 72 
5 17 231 500 17 73 
5 17 231 329 17 72 
5 17 231 430 17 72 
5 17 231 598 17 73 
5 17 231 532 17 73 
5 17 231 424 17 72 
6 16 231 430 16 71 
6 16 231 309 16 76 
6 16 231 397 16 71 
6 16 231 327 16 71 
6 16 231 349 16 71 
6 16 231 223 16 70 
6 16 231 395 16 71 
6 16 231 358 16 71 
6 16 231 388 16 70 
6 16 231 337 16 71 
7 15 231 377 15 71 
7 15 231 301 15 70 
7 15 231 362 15 69 
7 15 231 342 15 70 
7 15 231 409 15 69 
7 15 231 365 15 68 
7 15 231 506 15 69 
7 15 231 406 15 69 
7 15 231 420 15 70 
7 15 231 522 15 69 
8 14 231 364 14 68 
8 14 231 204 14 68 
8 14 231 183 14 68 
8 14 231 421 14 68 
8 14 231 227 14 68 
8 14 231 298 14 83 
8 14 231 419 14 68 
8 14 231 272 14 68 
8 14 231 533 14 67 
8 14 231 453 14 68 
9 13 231 270 13 67 
9 13 231 185 13 69 
9 13 231 362 13 67 
9 13 231 305 13 66 
9 13 231 314 13 66 
9 13 231 338 13 67 
9 13 231 200 13 67 
9 13 231 392 13 66 
9 13 231 350 13 66 
9 13 231 461 13 66 
10 12 231 261 12 66 
10 12 231 247 12 65 
10 12 231 202 12 65 
10 12 231 406 12 65 
10 12 231 149 12 65 
10 12 231 199 12 65 
10 12 231 148 12 66 
10 12 231 337 12 65 
10 12 231 372 12 65 
10 12 231 332 12 65 
1 22 253 576 22 95 
1 22 253 622 22 83 
1 22 253 548 22 83 
1 22 253 535 22 83 
1 22 253 755 22 83 
1 22 253 932 22 82 
1 22 253 544 22 84 
1 22 253 597 22 84 
1 22 253 757 22 87 
1 22 253 792 22 83 
2 21 253 430 21 88 
2 21 253 478 21 104 
2 21 253 584 21 93 
2 21 253 523 21 81 
2 21 253 489 21 82 
2 21 253 572 21 81 
2 21 253 545 21 81 
2 21 253 529 21 82 
2 21 253 674 21 82 
2 21 253 648 21 81 
3 20 253 435 20 81 
3 20 253 749 20 81 
3 20 253 687 20 80 
3 20 253 407 20 80 
3 20 253 475 20 81 
3 20 253 704 20 80 
3 20 253 554 20 81 
