fabricas clientes rutas costo cantaristas tiempo 
4 15 15 2846 15 58 
4 15 15 3030 15 67 
4 15 15 2572 15 59 
4 15 15 2473 15 57 
4 15 15 2792 15 58 
4 15 15 2949 15 57 
4 15 15 3248 15 58 
4 15 15 2417 15 57 
4 15 15 2368 15 58 
5 14 14 2633 14 56 
5 14 14 2092 14 57 
5 14 14 2884 14 57 
5 14 14 2715 14 55 
5 14 14 2637 14 57 
5 14 14 3174 14 57 
5 14 14 1538 14 56 
5 14 14 2124 14 57 
5 14 14 2237 14 57 
5 14 14 1544 14 57 
6 13 13 2725 13 55 
6 13 13 2787 13 55 
6 13 13 2089 13 57 
6 13 13 2474 13 56 
6 13 13 2252 13 57 
6 13 13 2583 13 57 
6 13 13 2039 13 57 
6 13 13 1722 13 55 
6 13 13 2715 13 56 
6 13 13 2263 13 56 
7 12 12 1785 12 54 
7 12 12 1626 12 49 
7 12 12 2257 12 49 
7 12 12 2753 12 49 
7 12 12 2365 12 49 
7 12 12 2122 12 49 
7 12 12 2035 12 50 
7 12 12 2592 12 49 
7 12 12 1982 12 48 
7 12 12 1509 12 49 
8 11 11 1511 11 48 
8 11 11 1636 11 48 
8 11 11 1659 11 47 
8 11 11 1273 11 47 
8 11 11 2168 11 48 
8 11 11 1840 11 47 
8 11 11 2395 11 48 
8 11 11 1841 11 48 
8 11 11 2492 11 48 
8 11 11 2154 11 53 
1 19 19 3734 19 60 
1 19 19 3605 19 59 
1 19 19 4046 19 59 
1 19 19 3760 19 59 
1 19 19 2890 19 60 
1 19 19 3888 19 62 
1 19 19 3661 19 63 
1 19 19 3673 19 64 
1 19 19 3428 19 64 
1 19 19 3700 19 63 
2 18 18 4122 18 64 
2 18 18 3747 18 62 
2 18 18 3471 18 62 
2 18 18 3121 18 63 
2 18 18 4165 18 62 
2 18 18 3392 18 61 
2 18 18 3261 18 62 
2 18 18 4148 18 62 
2 18 18 3527 18 62 
2 18 18 3285 18 61 
3 17 17 4035 17 60 
3 17 17 4019 17 61 
3 17 17 3133 17 61 
3 17 17 3369 17 59 
3 17 17 3054 17 62 
3 17 17 2960 17 61 
3 17 17 3460 17 60 
3 17 17 3660 17 59 
3 17 17 3153 17 61 
3 17 17 3635 17 61 
4 16 16 2786 16 61 
4 16 16 3271 16 64 
4 16 16 3211 16 60 
4 16 16 3447 16 60 
4 16 16 2819 16 60 
4 16 16 2808 16 60 
4 16 16 3571 16 61 
4 16 16 4011 16 59 
4 16 16 2850 16 60 
4 16 16 3142 16 62 
5 15 15 3636 15 59 
5 15 15 3714 15 59 
5 15 15 2777 15 60 
5 15 15 3321 15 60 
5 15 15 3499 15 59 
5 15 15 3838 15 60 
5 15 15 2632 15 60 
5 15 15 2824 15 60 
5 15 15 2675 15 59 
5 15 15 2817 15 60 
6 14 14 2359 14 58 
6 14 14 2029 14 58 
6 14 14 2693 14 57 
6 14 14 2486 14 58 
6 14 14 3056 14 59 
6 14 14 3490 14 59 
6 14 14 1749 14 58 
6 14 14 3192 14 59 
6 14 14 3305 14 58 
6 14 14 1818 14 59 
7 13 13 2028 13 58 
7 13 13 2878 13 57 
7 13 13 3135 13 58 
7 13 13 3186 13 58 
7 13 13 2203 13 57 
7 13 13 2689 13 55 
7 13 13 3116 13 58 
7 13 13 3288 13 57 
7 13 13 2450 13 59 
7 13 13 2536 13 57 
8 12 12 3173 12 57 
8 12 12 2764 12 57 
8 12 12 3587 12 56 
8 12 12 2423 12 55 
8 12 12 2709 12 56 
8 12 12 2446 12 56 
8 12 12 2375 12 56 
8 12 12 2901 12 59 
8 12 12 2640 12 56 
8 12 12 1983 12 56 
9 11 11 2449 11 56 
9 11 11 2563 11 56 
9 11 11 2392 11 56 
9 11 11 2120 11 55 
9 11 11 2668 11 49 
9 11 11 2210 11 50 
9 11 11 2362 11 49 
9 11 11 1631 11 49 
9 11 11 2580 11 50 
9 11 11 1869 11 49 
1 20 20 4509 20 62 
1 20 20 3785 20 61 
1 20 20 5186 20 62 
1 20 20 4661 20 64 
1 20 20 4653 20 66 
1 20 20 4280 20 66 
1 20 20 4741 20 65 
1 20 20 5049 20 65 
1 20 20 3540 20 65 
1 20 20 5331 20 64 
2 19 19 3913 19 66 
2 19 19 4733 19 66 
2 19 19 3576 19 65 
2 19 19 5225 19 65 
2 19 19 4406 19 65 
2 19 19 4739 19 64 
2 19 19 4080 19 65 
2 19 19 3974 19 66 
2 19 19 4697 19 65 
2 19 19 3130 19 64 
3 18 18 4174 18 65 
3 18 18 3659 18 65 
3 18 18 3989 18 64 
3 18 18 3359 18 63 
3 18 18 3048 18 65 
3 18 18 4007 18 64 
3 18 18 3785 18 63 
3 18 18 3478 18 64 
3 18 18 3065 18 65 
3 18 18 3544 18 64 
4 17 17 3302 17 62 
4 17 17 3150 17 61 
4 17 17 4250 17 61 
4 17 17 3337 17 64 
4 17 17 4208 17 63 
4 17 17 4095 17 62 
4 17 17 3777 17 64 
4 17 17 3866 17 64 
4 17 17 3554 17 63 
4 17 17 4222 17 63 
5 16 16 3233 16 58 
5 16 16 2440 16 61 
5 16 16 3845 16 64 
5 16 16 3242 16 61 
5 16 16 3562 16 62 
5 16 16 3653 16 62 
5 16 16 3835 16 62 
5 16 16 2971 16 63 
5 16 16 2908 16 57 
5 16 16 3380 16 56 
6 15 15 4137 15 55 
6 15 15 3406 15 57 
6 15 15 2357 15 62 
6 15 15 3372 15 60 
6 15 15 2636 15 62 
6 15 15 3841 15 62 
6 15 15 3095 15 63 
6 15 15 2319 15 63 
6 15 15 3501 15 62 
6 15 15 2591 15 60 
7 14 14 2441 14 61 
7 14 14 2813 14 60 
7 14 14 2796 14 60 
7 14 14 3855 14 59 
7 14 14 3621 14 61 
7 14 14 4069 14 60 
7 14 14 2884 14 60 
7 14 14 2723 14 60 
7 14 14 2513 14 60 
7 14 14 3034 14 60 
8 13 13 3655 13 60 
8 13 13 3194 13 60 
8 13 13 2761 13 59 
8 13 13 2790 13 59 
8 13 13 3248 13 60 
8 13 13 2655 13 59 
8 13 13 2688 13 60 
8 13 13 2792 13 60 
8 13 13 2627 13 58 
8 13 13 2793 13 59 
9 12 12 3224 12 59 
9 12 12 2784 12 59 
9 12 12 1872 12 58 
9 12 12 2250 12 58 
9 12 12 3326 12 58 
9 12 12 3211 12 59 
9 12 12 2800 12 59 
9 12 12 3044 12 58 
9 12 12 2830 12 58 
9 12 12 3215 12 59 
1 21 21 5528 21 67 
1 21 21 5103 21 68 
1 21 21 3030 21 69 
1 21 21 3919 21 69 
1 21 21 5995 21 66 
1 21 21 5291 21 67 
1 21 21 5695 21 68 
1 21 21 4482 21 67 
1 21 21 4973 21 69 
1 21 21 5985 21 68 
2 20 20 5314 20 67 
2 20 20 5074 20 69 
2 20 20 5756 20 69 
2 20 20 5376 20 67 
2 20 20 5203 20 72 
2 20 20 5085 20 75 
2 20 20 4586 20 65 
2 20 20 4876 20 66 
2 20 20 4151 20 67 
2 20 20 4429 20 69 
3 19 19 5278 19 89 
3 19 19 4572 19 92 
3 19 19 4812 19 90 
3 19 19 4274 19 89 
3 19 19 3876 19 91 
3 19 19 4904 19 88 
3 19 19 4167 19 89 
3 19 19 5211 19 83 
3 19 19 5024 19 88 
3 19 19 5072 19 79 
4 18 18 4602 18 61 
4 18 18 4049 18 73 
4 18 18 4591 18 65 
4 18 18 4893 18 66 
4 18 18 4459 18 66 
4 18 18 4092 18 66 
4 18 18 4973 18 67 
4 18 18 3855 18 65 
4 18 18 4052 18 66 
4 18 18 5187 18 65 
5 17 17 4491 17 65 
5 17 17 3684 17 67 
5 17 17 4068 17 65 
5 17 17 3187 17 65 
5 17 17 3503 17 64 
5 17 17 5200 17 65 
5 17 17 4607 17 66 
5 17 17 2699 17 63 
5 17 17 5143 17 63 
5 17 17 4106 17 66 
6 16 16 3565 16 63 
6 16 16 3582 16 62 
6 16 16 3720 16 64 
6 16 16 4382 16 64 
6 16 16 5187 16 64 
6 16 16 4308 16 63 
6 16 16 3665 16 64 
6 16 16 3297 16 64 
6 16 16 3128 16 64 
6 16 16 4171 16 64 
7 15 15 3732 15 63 
7 15 15 3951 15 63 
7 15 15 3783 15 62 
7 15 15 3288 15 61 
7 15 15 3764 15 62 
7 15 15 3805 15 60 
7 15 15 3628 15 63 
7 15 15 3418 15 63 
7 15 15 3217 15 63 
7 15 15 3843 15 62 
8 14 14 3783 14 63 
8 14 14 2811 14 61 
8 14 14 3643 14 69 
8 14 14 3644 14 63 
8 14 14 2849 14 61 
8 14 14 3187 14 61 
8 14 14 3072 14 62 
8 14 14 3028 14 60 
8 14 14 2669 14 63 
8 14 14 3801 14 61 
9 13 13 3030 13 60 
9 13 13 3128 13 60 
9 13 13 3197 13 61 
9 13 13 2722 13 60 
9 13 13 3270 13 60 
9 13 13 3650 13 59 
9 13 13 3772 13 61 
9 13 13 3331 13 59 
9 13 13 2710 13 61 
9 13 13 3048 13 60 
10 12 12 2416 12 60 
10 12 12 3001 12 59 
10 12 12 2619 12 60 
10 12 12 3171 12 59 
10 12 12 3025 12 60 
10 12 12 3268 12 60 
10 12 12 3623 12 60 
10 12 12 2490 12 58 
10 12 12 3089 12 60 
10 12 12 2232 12 60 
1 22 22 6261 22 77 
1 22 22 6264 22 72 
1 22 22 5683 22 70 
1 22 22 6461 22 69 
1 22 22 6958 22 78 
1 22 22 6539 22 71 
1 22 22 6251 22 71 
1 22 22 6635 22 71 
1 22 22 4438 22 70 
1 22 22 6000 22 69 
2 21 21 5171 21 69 
2 21 21 5014 21 69 
2 21 21 6179 21 69 
2 21 21 5247 21 72 
2 21 21 5701 21 70 
