Trabajos,CantEnMaquina,Ticks,Resultado,Caso
259,124,0.182843,68878914,Random
224,115,0.132326,61690695,Random
436,200,0.737124,127237136,Random
862,445,3.9103,264491778,Random+4
633,326,1.89309,188026790,Random+4
827,401,3.10131,1338859544,Random+4
52,25,0.005627,921650960,Random+4
113,50,0.02628,-1554072481,Random+4
550,270,1.20102,-680853963,Random+4
839,419,3.49832,241083665,Random
583,298,1.47817,176057994,Random+4
963,333,4.97453,-2147450149,Random+4
99,51,0.020104,1342255403,Random+4
282,137,0.198023,-1784593950,Random+4
990,496,5.91478,307984979,Random+4
998,508,5.99036,289260705,Random
423,201,0.551462,128158731,Random+4
563,290,1.26122,168497512,Random
477,227,0.882515,138557856,Random+4
77,37,0.012747,24987512,Random+4
292,152,0.217239,82228037,Random
828,417,2.95312,1444537815,Random+4
519,266,0.966891,147590703,Random
600,300,1.3123,176085363,Random+4
497,257,0.727466,-1689743514,Random+4
582,279,1.3184,174260937,Random+4
745,380,2.445,1705064883,Random+4
935,488,4.44397,268797000,Random
291,129,0.287905,83978151,Random
714,368,2.25503,-1403024322,Random+4
312,159,0.269907,1226335658,Random+4
476,236,0.789331,497673300,Random+4
164,88,0.060715,-734365325,Random+4
997,504,5.37951,292011151,Random+4
263,135,0.208513,80596022,Random+4
540,281,1.0954,-1676854917,Random+4
70,40,0.010393,-1569537699,Random+4
877,433,3.33756,249852079,Random
471,230,0.725642,-6307074,Random+4
404,209,0.468528,1868956765,Random+4
511,256,0.89781,141594670,Random
135,69,0.039925,45167760,Random
693,356,2.07226,785917932,Random+4
699,358,2.27463,203541130,Random
945,467,4.34353,284199332,Random+4
269,132,0.190555,75702852,Random+4
457,241,0.810785,135754371,Random+4
122,64,0.033883,40310299,Random+4
426,226,0.727581,129076029,Random+4
938,462,4.30485,-408364621,Random+4
894,441,4.00127,260563438,Random
329,158,0.295225,-1358515166,Random+4
666,328,2.08694,191223683,Random+4
195,102,0.083975,62808320,Random+4
752,382,2.46373,-1893392548,Random+4
739,369,2.61929,229221259,Random+4
501,246,0.849037,-1289095784,Random+4
152,73,0.05128,-1939300800,Random+4
877,449,3.5273,255027875,Random
44,19,0.003983,11027798,Random
530,248,0.980062,1617029636,Random+4
363,192,0.416036,2047826213,Random+4
658,333,1.79818,194305257,Random
454,226,0.88784,130098372,Random
98,39,0.020213,29452145,Random
865,433,3.68061,265566530,Random+4
136,71,0.041914,36869899,Random+4
448,233,0.710584,132891895,Random
230,114,0.138918,68627081,Random
447,227,0.687236,140425659,Random+4
767,389,2.64426,-390187588,Random+4
180,81,0.073981,872649873,Random+4
371,182,0.392395,111305314,Random+4
445,216,0.681816,1682134769,Random+4
468,233,0.825363,142890228,Random+4
617,309,1.39672,177543684,Random
482,240,0.842213,142386312,Random+4
498,258,0.900372,139066838,Random
211,98,0.114663,66739000,Random+4
730,381,2.98316,213727917,Random+4
980,485,5.25283,-496921119,Random+4
834,422,3.95477,240708895,Random
555,282,1.31246,169297091,Random+4
579,286,1.26471,-2056032948,Random+4
97,46,0.020504,1136050174,Random+4
604,318,1.5802,179257938,Random+4
61,27,0.008325,19890255,Random+4
209,104,0.125639,64335040,Random+4
28,18,0.001744,9809425,Random+4
714,367,2.15459,203870282,Random
227,123,0.159522,66156746,Random+4
90,39,0.016941,29792680,Random
263,144,0.160373,77500608,Random+4
864,444,3.62886,746469185,Random+4
702,361,2.57098,212477794,Random+4
135,75,0.041166,37301820,Random+4
779,398,2.97781,229920676,Random
248,121,0.153976,70503177,Random
400,201,0.593193,106621413,Random
605,302,1.48422,182087112,Random+4
11,5,0.000303,2789650,Random+4
231,119,0.144572,69609037,Random+4
665,355,1.77902,-2020924252,Random+4
620,320,1.44223,177166714,Random
319,159,0.333027,91177634,Random
731,376,2.43841,213350022,Random+4
910,463,4.0325,1068184185,Random+4
935,473,5.07453,272077132,Random
827,382,3.91352,248402338,Random+4
7,4,0.000172,2715280,Random+4
733,375,2.43217,494694160,Random+4
576,280,1.22549,170204118,Random+4
594,301,1.17604,-552900680,Random+4
736,368,2.22042,215952495,Random
757,378,2.35838,215235702,Random+4
753,364,2.387,-1788061686,Random+4
73,44,0.008054,-1268105852,Random+4
575,295,1.32486,1840946117,Random+4
106,55,0.024558,2042206900,Random+4
653,321,1.63013,194670957,Random+4
184,99,0.063712,57266026,Random+4
835,420,3.21225,245066797,Random
67,32,0.00843,18415574,Random
366,193,0.348076,106568376,Random
453,214,0.700776,129989826,Random
43,22,0.004196,12210688,Random
776,365,2.55547,516472751,Random+4
736,368,2.52744,212443030,Random
603,302,1.55652,342525702,Random+4
261,124,0.149671,405037418,Random+4
940,478,4.51711,280655141,Random+4
650,320,2.05416,187182239,Random+4
822,409,3.23399,245101186,Random
464,232,0.870446,127280151,Random
151,83,0.053603,39111584,Random
573,293,1.40029,170251582,Random+4
69,34,0.009908,20830757,Random+4
947,460,4.65765,503741683,Random+4
585,308,1.36262,172326515,Random+4
506,276,1.03182,-787460629,Random+4
418,224,0.51276,121791023,Random+4
798,383,2.59569,232314285,Random
38,20,0.003157,11380412,Random
566,283,1.23078,164243992,Random
573,306,1.40637,165568506,Random
987,459,4.97161,203852059,Random+4
13,6,0.000385,1303037672,Random+4
562,280,1.39579,165581724,Random
249,120,0.165996,-796994863,Random+4
187,93,0.086419,55457995,Random
